guid/image/axis,value
047b864f-0753-448b-9483-f990ae41abaf/0000/x,24.530764
047b864f-0753-448b-9483-f990ae41abaf/0000/y,-5.6007614
047b864f-0753-448b-9483-f990ae41abaf/0000/z,41.72602
047b864f-0753-448b-9483-f990ae41abaf/0001/x,-4.277715
047b864f-0753-448b-9483-f990ae41abaf/0001/y,-5.1722097
047b864f-0753-448b-9483-f990ae41abaf/0001/z,62.384415
047b864f-0753-448b-9483-f990ae41abaf/0002/x,-3.688631
047b864f-0753-448b-9483-f990ae41abaf/0002/y,-3.075528
047b864f-0753-448b-9483-f990ae41abaf/0002/z,32.57086
047b864f-0753-448b-9483-f990ae41abaf/0003/x,-9.467686
047b864f-0753-448b-9483-f990ae41abaf/0003/y,-2.3306892
047b864f-0753-448b-9483-f990ae41abaf/0003/z,46.730995
047b864f-0753-448b-9483-f990ae41abaf/0004/x,-4.018654
047b864f-0753-448b-9483-f990ae41abaf/0004/y,-0.053295836
047b864f-0753-448b-9483-f990ae41abaf/0004/z,9.457383
047b864f-0753-448b-9483-f990ae41abaf/0005/x,-2.0688238
047b864f-0753-448b-9483-f990ae41abaf/0005/y,-1.0015668
047b864f-0753-448b-9483-f990ae41abaf/0005/z,21.76266
047b864f-0753-448b-9483-f990ae41abaf/0006/x,-0.88398284
047b864f-0753-448b-9483-f990ae41abaf/0006/y,-5.5903983
047b864f-0753-448b-9483-f990ae41abaf/0006/z,67.18544
047b864f-0753-448b-9483-f990ae41abaf/0007/x,-3.2771332
047b864f-0753-448b-9483-f990ae41abaf/0007/y,-4.4951153
047b864f-0753-448b-9483-f990ae41abaf/0007/z,49.771393
047b864f-0753-448b-9483-f990ae41abaf/0008/x,15.6638565
047b864f-0753-448b-9483-f990ae41abaf/0008/y,-5.1317377
047b864f-0753-448b-9483-f990ae41abaf/0008/z,45.333504
047b864f-0753-448b-9483-f990ae41abaf/0009/x,-4.4591007
047b864f-0753-448b-9483-f990ae41abaf/0009/y,-6.7261143
047b864f-0753-448b-9483-f990ae41abaf/0009/z,89.4874
047b864f-0753-448b-9483-f990ae41abaf/0010/x,-7.1967597
047b864f-0753-448b-9483-f990ae41abaf/0010/y,-4.526535
047b864f-0753-448b-9483-f990ae41abaf/0010/z,57.005936
047b864f-0753-448b-9483-f990ae41abaf/0011/x,-5.3723307
047b864f-0753-448b-9483-f990ae41abaf/0011/y,-1.7590147
047b864f-0753-448b-9483-f990ae41abaf/0011/z,24.843851
047b864f-0753-448b-9483-f990ae41abaf/0012/x,8.502187
047b864f-0753-448b-9483-f990ae41abaf/0012/y,-2.0349176
047b864f-0753-448b-9483-f990ae41abaf/0012/z,20.209019
047b864f-0753-448b-9483-f990ae41abaf/0013/x,-16.053612
047b864f-0753-448b-9483-f990ae41abaf/0013/y,-0.13264169
047b864f-0753-448b-9483-f990ae41abaf/0013/z,42.556293
047b864f-0753-448b-9483-f990ae41abaf/0014/x,-7.2908173
047b864f-0753-448b-9483-f990ae41abaf/0014/y,-0.6171267
047b864f-0753-448b-9483-f990ae41abaf/0014/z,22.854053
047b864f-0753-448b-9483-f990ae41abaf/0015/x,11.145633
047b864f-0753-448b-9483-f990ae41abaf/0015/y,-1.2567581
047b864f-0753-448b-9483-f990ae41abaf/0015/z,13.892658
047b864f-0753-448b-9483-f990ae41abaf/0016/x,10.197224
047b864f-0753-448b-9483-f990ae41abaf/0016/y,-5.0488048
047b864f-0753-448b-9483-f990ae41abaf/0016/z,55.602474
047b864f-0753-448b-9483-f990ae41abaf/0017/x,4.7867713
047b864f-0753-448b-9483-f990ae41abaf/0017/y,-3.375743
047b864f-0753-448b-9483-f990ae41abaf/0017/z,38.625282
047b864f-0753-448b-9483-f990ae41abaf/0018/x,-3.1929555
047b864f-0753-448b-9483-f990ae41abaf/0018/y,-0.10847916
047b864f-0753-448b-9483-f990ae41abaf/0018/z,9.781818
047b864f-0753-448b-9483-f990ae41abaf/0019/x,6.3346057
047b864f-0753-448b-9483-f990ae41abaf/0019/y,-0.7387086
047b864f-0753-448b-9483-f990ae41abaf/0019/z,12.893081
047b864f-0753-448b-9483-f990ae41abaf/0020/x,12.844022
047b864f-0753-448b-9483-f990ae41abaf/0020/y,-2.1235752
047b864f-0753-448b-9483-f990ae41abaf/0020/z,24.218283
047b864f-0753-448b-9483-f990ae41abaf/0021/x,6.970825
047b864f-0753-448b-9483-f990ae41abaf/0021/y,-0.6713057
047b864f-0753-448b-9483-f990ae41abaf/0021/z,5.548771
047b864f-0753-448b-9483-f990ae41abaf/0022/x,-5.3206143
047b864f-0753-448b-9483-f990ae41abaf/0022/y,-0.979114
047b864f-0753-448b-9483-f990ae41abaf/0022/z,19.870058
047b864f-0753-448b-9483-f990ae41abaf/0023/x,-28.367817
047b864f-0753-448b-9483-f990ae41abaf/0023/y,-4.578878
047b864f-0753-448b-9483-f990ae41abaf/0023/z,39.439297
047b864f-0753-448b-9483-f990ae41abaf/0024/x,-15.717119
047b864f-0753-448b-9483-f990ae41abaf/0024/y,-2.7733629
047b864f-0753-448b-9483-f990ae41abaf/0024/z,29.885704
047b864f-0753-448b-9483-f990ae41abaf/0025/x,-7.234679
047b864f-0753-448b-9483-f990ae41abaf/0025/y,-1.2530174
047b864f-0753-448b-9483-f990ae41abaf/0025/z,17.885479
047b864f-0753-448b-9483-f990ae41abaf/0026/x,-3.3243773
047b864f-0753-448b-9483-f990ae41abaf/0026/y,0.17123081
047b864f-0753-448b-9483-f990ae41abaf/0026/z,3.874051
047b864f-0753-448b-9483-f990ae41abaf/0027/x,-14.086297
047b864f-0753-448b-9483-f990ae41abaf/0027/y,-1.8256229
047b864f-0753-448b-9483-f990ae41abaf/0027/z,28.99341
047b864f-0753-448b-9483-f990ae41abaf/0028/x,-20.645119
047b864f-0753-448b-9483-f990ae41abaf/0028/y,-2.6172845
047b864f-0753-448b-9483-f990ae41abaf/0028/z,31.276894
047b864f-0753-448b-9483-f990ae41abaf/0029/x,-7.4294405
047b864f-0753-448b-9483-f990ae41abaf/0029/y,-2.3334386
047b864f-0753-448b-9483-f990ae41abaf/0029/z,29.438354
047b864f-0753-448b-9483-f990ae41abaf/0030/x,-3.9641435
047b864f-0753-448b-9483-f990ae41abaf/0030/y,0.14265813
047b864f-0753-448b-9483-f990ae41abaf/0030/z,6.6524005
047b864f-0753-448b-9483-f990ae41abaf/0031/x,-2.3433816
047b864f-0753-448b-9483-f990ae41abaf/0031/y,-2.9736786
047b864f-0753-448b-9483-f990ae41abaf/0031/z,39.054813
047b864f-0753-448b-9483-f990ae41abaf/0032/x,-3.2519884
047b864f-0753-448b-9483-f990ae41abaf/0032/y,-0.9821751
047b864f-0753-448b-9483-f990ae41abaf/0032/z,19.996695
047b864f-0753-448b-9483-f990ae41abaf/0033/x,10.428362
047b864f-0753-448b-9483-f990ae41abaf/0033/y,-7.585569
047b864f-0753-448b-9483-f990ae41abaf/0033/z,75.80285
047b864f-0753-448b-9483-f990ae41abaf/0034/x,-9.121164
047b864f-0753-448b-9483-f990ae41abaf/0034/y,-1.0288057
047b864f-0753-448b-9483-f990ae41abaf/0034/z,17.679106
047b864f-0753-448b-9483-f990ae41abaf/0035/x,-7.2493424
047b864f-0753-448b-9483-f990ae41abaf/0035/y,-1.9281467
047b864f-0753-448b-9483-f990ae41abaf/0035/z,21.145107
047b864f-0753-448b-9483-f990ae41abaf/0036/x,-11.990523
047b864f-0753-448b-9483-f990ae41abaf/0036/y,-0.61180043
047b864f-0753-448b-9483-f990ae41abaf/0036/z,34.88532
047b864f-0753-448b-9483-f990ae41abaf/0037/x,-5.4082866
047b864f-0753-448b-9483-f990ae41abaf/0037/y,-0.3354838
047b864f-0753-448b-9483-f990ae41abaf/0037/z,15.861689
047b864f-0753-448b-9483-f990ae41abaf/0038/x,-1.6100991
047b864f-0753-448b-9483-f990ae41abaf/0038/y,-6.621192
047b864f-0753-448b-9483-f990ae41abaf/0038/z,58.896114
047b864f-0753-448b-9483-f990ae41abaf/0039/x,7.068674
047b864f-0753-448b-9483-f990ae41abaf/0039/y,-6.1833873
047b864f-0753-448b-9483-f990ae41abaf/0039/z,66.035515
047b864f-0753-448b-9483-f990ae41abaf/0040/x,-9.505969
047b864f-0753-448b-9483-f990ae41abaf/0040/y,-3.046038
047b864f-0753-448b-9483-f990ae41abaf/0040/z,53.15845
047b864f-0753-448b-9483-f990ae41abaf/0041/x,7.9749513
047b864f-0753-448b-9483-f990ae41abaf/0041/y,-1.0630858
047b864f-0753-448b-9483-f990ae41abaf/0041/z,8.724134
047b864f-0753-448b-9483-f990ae41abaf/0042/x,-17.539442
